startingAirport,destinationAirport,median_distance,median_duration,median_segments_distance
8,14,-1.2220222,-0.64815944,-0.6527515
8,15,0.64910465,0.33704683,0.24056958
8,16,0.72390145,-0.36080763,-0.28789693
9,1,-1.6527071,-0.89446104,-0.85235804
9,2,-1.7311231,-0.89446104,-0.98815596
9,3,-1.3981566,-0.8260439,-0.85235804
9,4,-0.11816593,-0.15555632,-0.12755725
9,5,-0.65018845,-0.40185788,-0.41551423
9,6,-1.3185343,-0.67552626,-0.5938512
9,7,-1.2702782,-0.67552626,-0.5938512
9,9,-1.2618334,-0.89446104,-0.85235804
9,10,0.65996224,0.48756444,0.53834325
9,11,-1.2147838,-0.81236047,-0.76727986
9,12,-1.0603646,-0.7439434,-0.66584045
9,13,-1.2087518,-0.8534108,-0.85235804
9,14,-1.3860927,-0.8807776,-0.85235804
9,15,0.99534154,0.15916236,0.13422182
9,16,1.2776392,-0.3471242,-0.28789693
10,1,-1.0820798,-0.4839584,-0.50222856
10,2,-1.7528383,-0.8807776,-1.0372396
10,3,-1.2147838,-0.8260439,-0.85235804
10,4,0.0278085,0.2549463,0.09004661
10,5,-0.323254,-0.22397342,-0.25681067
10,6,-1.1375742,-0.7439434,-0.7476464
10,8,-1.2702782,-0.86709416,-0.85235804
10,10,0.8940039,1.1033183,0.8704755
10,12,-0.8781981,-0.1418729,-0.2093632
10,13,-1.0591582,-0.30607393,-0.41878647
10,14,-1.7612832,-0.75762683,-0.92925566
10,15,1.0520424,1.3496199,1.0880793
10,16,1.3090056,-0.018722111,-0.1406462
11,1,-0.9252477,-0.2787071,-0.25681067
11,2,-0.4342428,-0.073455796,0.022965718
11,3,-1.0374429,-0.59342575,-0.49568406
11,4,-0.6670781,-0.25134027,-0.20118262
11,6,-0.71895325,-0.31975737,-0.20118262
11,7,-0.528342,-0.26502368,-0.1406462
11,8,-0.7780669,-0.4155413,-0.32389155
11,9,-0.4897372,-0.18292315,-0.20118262
11,10,-0.43303642,-0.25134027,-0.27971634
11,11,-0.4897372,-0.12818947,-0.1406462
11,12,-0.7286045,-0.3471242,-0.20118262
11,13,-0.8806109,-0.38817447,-0.40569752
11,14,-0.58263004,-0.33344078,-0.20118262
11,15,-0.3787484,-0.31975737,-0.32061931
11,16,-0.10730833,-0.42922473,-0.42533094
12,1,-1.1797981,-0.49764183,-0.50222856
12,3,-1.4415871,-0.70289314,-0.72310466
12,4,-0.14350034,0.20021261,0.022965718
12,5,-0.4125276,0.21389604,0.022965718
12,6,-1.4452063,-0.67552626,-0.72310466
12,7,-0.78651166,-0.40185788,-0.2093632
12,8,-1.8324608,-0.8534108,-1.0257866
12,9,-1.6261662,-0.8807776,-1.0257866
12,10,0.8662567,0.9664841,0.8753838
12,11,-1.5658463,-0.78499365,-0.82618016
12,12,-0.7672093,0.06337841,0.019693479
12,13,-1.230467,-0.22397342,-0.41551423
12,14,-1.9820544,-0.92182785,-1.084687
12,15,0.99654794,0.87070024,0.67414117
12,16,1.4561864,-0.2787071,-0.28789693
13,1,-1.3897119,-0.5250087,-0.49568406
13,2,-0.78651166,-0.42922473,-0.49568406
13,3,-1.127923,-0.5797424,-0.5938512
13,4,-0.040956315,0.09074525,0.045871384
13,5,-0.528342,-0.16923973,-0.1406462
13,6,-1.164115,-0.56605893,-0.56112885
13,8,-1.2702782,-0.6618429,-0.5938512
13,10,0.8083495,0.7201826,0.6381465
13,11,-2.099075,-0.9081444,-1.084687
13,12,-0.68396765,-0.26502368,-0.23881336
13,13,-1.339043,-0.5250087,-0.5938512
13,14,-1.0989693,-0.47027498,-0.49568406
13,15,1.0520424,0.9391173,0.8704755
13,16,1.2655752,-0.15555632,-0.1406462
14,1,0.5646566,-0.0050386917,-0.060476363
14,2,0.99654794,0.6380821,0.6430549
14,3,0.7371719,0.03601157,0.11131615
14,4,-0.8239101,-0.47027498,-0.40733364
14,5,-0.061465118,-0.23765683,-0.20118262
14,6,0.73234624,0.14547893,0.24056958
14,7,1.0665191,0.4054639,0.41890657
14,8,0.99534154,0.09074525,0.17348868
14,9,1.0520424,0.98016757,1.0144539
14,10,-1.1423998,-0.75762683,-0.79182166
14,11,1.1557927,0.21389604,0.26347524
14,12,1.1811272,0.54229814,0.41890657
14,13,0.34871098,0.008644729,0.09004661
14,14,1.0580744,0.07706183,0.21275555
14,16,-1.5055263,-0.7986771,-0.83272463
15,1,-0.95299494,-0.4155413,-0.40569752
15,2,-1.230467,-0.56605893,-0.41878647
15,3,-0.9698845,-0.53869206,-0.49568406
15,4,-0.65501404,-0.40185788,-0.32389155
15,5,-0.8323549,-0.5250087,-0.40569752
15,6,-0.9988381,-0.6892097,-0.6249375
15,7,-1.0591582,-0.67552626,-0.5938512
15,8,-1.1870366,-0.8260439,-0.85235804
15,9,-1.200307,-0.5523755,-0.49568406
15,10,0.10743092,0.21389604,0.19966659
15,11,-1.3305982,-0.6071092,-0.49568406
15,12,-0.28585556,-0.22397342,-0.2093632
15,14,-0.9710909,-0.70289314,-0.65602374
15,15,0.25219896,0.13179551,0.09004661
15,16,0.5670694,-0.31975737,-0.28789693
16,1,-0.07111632,0.04969499,-0.1406462
16,2,-0.7672093,-0.19660658,-0.19627425
16,3,-1.3281854,-0.4839584,-0.49568406
16,4,-0.05905232,0.30967999,0.18003316
16,5,-0.7286045,-0.22397342,-0.20118262
16,6,-0.4052892,-0.29239053,-0.412242
16,7,-0.68396765,-0.3471242,-0.32061931
16,8,-0.95058215,-0.6207926,-0.50222856
16,9,-0.8781981,-0.046088953,-0.2093632
16,10,0.7118375,0.36441365,0.4221788
16,11,-0.68396765,-0.22397342,-0.2093632
16,13,-0.23398036,0.118112095,-0.2093632
16,14,-0.7985757,-0.42922473,-0.412242
16,15,0.9724199,0.473881,0.41890657
16,16,1.39466,0.26862973,0.18003316
